time_hrs,c_top,c_mid,c_bot,mid_quarter,mid_corner
30.6667,74.0480,100.9580,91.6880,100.9580,91.6520
30.7500,74.1200,101.0300,91.7240,101.0300,91.6700
30.8333,74.2100,101.1020,91.7600,101.1020,91.7060
30.9167,74.3000,101.1740,91.7960,101.1740,91.7420
31.0000,74.3900,101.2460,91.8320,101.2460,91.7780
31.0833,74.4800,101.3360,91.8860,101.3360,91.7960
31.1667,74.5700,101.4080,91.9220,101.4080,91.8320
31.2500,74.6600,101.4800,91.9580,101.4800,91.8680
31.3333,74.7320,101.5520,91.9940,101.5520,91.8860
31.4167,74.8220,101.6240,92.0300,101.6240,91.9220
31.5000,74.9120,101.6960,92.0660,101.6960,91.9580
31.5833,75.0020,101.7680,92.1020,101.7680,91.9940
31.6667,75.0740,101.8400,92.1380,101.8400,92.0120
31.7500,75.1640,101.9120,92.1740,101.9120,92.0480
31.8333,75.2540,101.9840,92.2100,101.9840,92.0840
31.9167,75.3260,102.0560,92.2460,102.0560,92.1200
32.0000,75.4160,102.1280,92.2820,102.1280,92.1560
32.0833,75.5060,102.2000,92.3180,102.2000,92.1740
32.1667,75.5780,102.2720,92.3540,102.2720,92.2100
32.2500,75.6680,102.3440,92.3900,102.3440,92.2280
32.3333,75.7400,102.4160,92.4260,102.4160,92.2640
32.4167,75.8300,102.4880,92.4620,102.4880,92.2820
32.5000,75.9020,102.5600,92.4980,102.5600,92.3000
32.5833,75.9740,102.6320,92.5340,102.6320,92.3180
32.6667,76.0460,102.7040,92.5700,102.7040,92.3360
32.7500,76.1360,102.7760,92.5880,102.7760,92.3540
32.8333,76.2080,102.8480,92.6240,102.8480,92.3540
32.9167,76.2800,102.9200,92.6600,102.9200,92.3720
33.0000,76.3520,102.9920,92.6960,102.9920,92.3720
33.0833,76.4240,103.0640,92.7320,103.0640,92.3900
33.1667,76.4960,103.1360,92.7680,103.1360,92.3900
33.2500,76.5680,103.1900,92.8040,103.1900,92.4080
33.3333,76.6220,103.2620,92.8400,103.2620,92.4260
33.4167,76.6940,103.3340,92.8760,103.3340,92.4260
33.5000,76.7480,103.4060,92.9120,103.4060,92.4440
33.5833,76.8020,103.4780,92.9480,103.4780,92.4620
33.6667,76.8740,103.5500,92.9840,103.5500,92.4800
33.7500,76.9280,103.6220,93.0200,103.6220,92.4980
33.8333,76.9820,103.6940,93.0560,103.6940,92.5160
33.9167,77.0360,103.7660,93.0920,103.7660,92.5520
34.0000,77.0720,103.8380,93.1100,103.8380,92.5700
34.0833,77.1260,103.8920,93.1460,103.8920,92.5880
34.1667,77.1800,103.9640,93.1820,103.9640,92.6240
34.2500,77.2160,104.0360,93.2180,104.0360,92.6420
34.3333,77.2700,104.1080,93.2540,104.1080,92.6600
34.4167,77.3060,104.1800,93.2900,104.1800,92.6960
34.5000,77.3420,104.2520,93.3260,104.2520,92.7140
34.5833,77.3960,104.3060,93.3620,104.3060,92.7500
34.6667,77.4320,104.3780,93.3800,104.3780,92.7680
34.7500,77.4680,104.4500,93.4160,104.4500,92.8040
34.8333,77.5040,104.5220,93.4520,104.5220,92.8220
34.9167,77.5400,104.5940,93.4880,104.5940,92.8580
35.0000,77.5580,104.6660,93.5240,104.6660,92.8760
35.0833,77.5940,104.7200,93.5600,104.7200,92.9120
35.1667,77.6120,104.7920,93.5960,104.7920,92.9300
35.2500,77.6480,104.8640,93.6140,104.8640,92.9660
35.3333,77.6660,104.9360,93.6500,104.9360,93.0020
35.4167,77.6840,104.9900,93.6860,104.9900,93.0200
35.5000,77.7020,105.0620,93.7220,105.0620,93.0560
35.5833,77.7200,105.1340,93.7580,105.1340,93.0920
35.6667,77.7380,105.2060,93.7940,105.2060,93.1100
